dimension,capacity,load_ratio,noise,repeats,trials,correct,accuracy,accuracy_ci95_low,accuracy_ci95_high,latency_p50_ms,latency_p95_ms,storage_mib
64,3,0.05,0.0,5,15,15,1.0,0.7961107336956521,1.0,0.128923,0.1682308999999999,0.016357421875
64,3,0.05,0.25,5,15,15,1.0,0.7961107336956521,1.0,0.122382,0.1265579,0.016357421875
64,3,0.05,0.5,5,15,15,1.0,0.7961107336956521,1.0,0.12141,0.1277882,0.016357421875
64,3,0.05,1.0,5,15,15,1.0,0.7961107336956521,1.0,0.121413,0.1251322,0.016357421875
64,6,0.1,0.0,5,30,30,1.0,0.8864829086095221,1.0,0.1218435,0.1299745,0.01708984375
64,6,0.1,0.25,5,30,30,1.0,0.8864829086095221,1.0,0.120971,0.12339705,0.01708984375
64,6,0.1,0.5,5,30,30,1.0,0.8864829086095221,1.0,0.1206235,0.12719709999999998,0.01708984375
64,6,0.1,1.0,5,30,30,1.0,0.8864829086095221,1.0,0.1196535,0.12165715,0.01708984375
64,13,0.2,0.0,5,40,38,0.95,0.834958291820748,0.9861796228538989,0.1220725,0.1370369,0.018798828125
64,13,0.2,0.25,5,40,38,0.95,0.834958291820748,0.9861796228538989,0.12003649999999999,0.12502054999999998,0.018798828125
64,13,0.2,0.5,5,40,38,0.95,0.834958291820748,0.9861796228538989,0.1200765,0.12789659999999994,0.018798828125
64,13,0.2,1.0,5,40,37,0.925,0.8013546984090248,0.9741644432281419,0.120308,0.12924414999999997,0.018798828125
128,6,0.05,0.0,5,30,30,1.0,0.8864829086095221,1.0,0.1347695,0.18939159999999985,0.0654296875
128,6,0.05,0.25,5,30,30,1.0,0.8864829086095221,1.0,0.132473,0.13784165,0.0654296875
128,6,0.05,0.5,5,30,30,1.0,0.8864829086095221,1.0,0.13105250000000002,0.14072755,0.0654296875
128,6,0.05,1.0,5,30,30,1.0,0.8864829086095221,1.0,0.130906,0.13349555,0.0654296875
128,13,0.1,0.0,5,40,40,1.0,0.9123754607496077,1.0,0.1312775,0.14261775000000002,0.06884765625
128,13,0.1,0.25,5,40,40,1.0,0.9123754607496077,1.0,0.12995400000000001,0.13642084999999998,0.06884765625
128,13,0.1,0.5,5,40,40,1.0,0.9123754607496077,1.0,0.129602,0.1360611,0.06884765625
128,13,0.1,1.0,5,40,40,1.0,0.9123754607496077,1.0,0.129538,0.13684375,0.06884765625
128,26,0.2,0.0,5,40,39,0.975,0.8711834051199223,0.9955732825922052,0.13236900000000001,0.14429799999999998,0.0751953125
128,26,0.2,0.25,5,40,38,0.95,0.834958291820748,0.9861796228538989,0.12970700000000002,0.13261685,0.0751953125
128,26,0.2,0.5,5,40,40,1.0,0.9123754607496077,1.0,0.1320425,0.17127834999999997,0.0751953125
128,26,0.2,1.0,5,40,37,0.925,0.8013546984090248,0.9741644432281419,0.131033,0.1446721,0.0751953125
256,13,0.05,0.0,5,40,40,1.0,0.9123754607496077,1.0,0.248744,0.51995845,0.2626953125
256,13,0.05,0.25,5,40,40,1.0,0.9123754607496077,1.0,0.504815,0.5167571000000001,0.2626953125
256,13,0.05,0.5,5,40,40,1.0,0.9123754607496077,1.0,0.503177,0.51280165,0.2626953125
256,13,0.05,1.0,5,40,40,1.0,0.9123754607496077,1.0,0.5040985,0.51175895,0.2626953125
256,26,0.1,0.0,5,40,40,1.0,0.9123754607496077,1.0,0.5108364999999999,0.5317399999999999,0.275390625
256,26,0.1,0.25,5,40,40,1.0,0.9123754607496077,1.0,0.5083359999999999,0.5672962499999997,0.275390625
256,26,0.1,0.5,5,40,40,1.0,0.9123754607496077,1.0,0.5080585,0.5157597,0.275390625
256,26,0.1,1.0,5,40,40,1.0,0.9123754607496077,1.0,0.5078020000000001,0.5225235499999998,0.275390625
256,51,0.2,0.0,5,40,40,1.0,0.9123754607496077,1.0,0.5075255,0.5704369999999997,0.2998046875
256,51,0.2,0.25,5,40,40,1.0,0.9123754607496077,1.0,0.5058845000000001,0.51305585,0.2998046875
256,51,0.2,0.5,5,40,40,1.0,0.9123754607496077,1.0,0.5050005,0.5143046999999998,0.2998046875
256,51,0.2,1.0,5,40,38,0.95,0.834958291820748,0.9861796228538989,0.504419,0.55444965,0.2998046875
