pattern_source,dimension,capacity,load_ratio,noise,repeats,trials,correct,accuracy,accuracy_ci95_low,accuracy_ci95_high,latency_p50_ms,latency_p95_ms,storage_mib
text,64,6,0.1,0.0,10,60,12,0.2,0.11828389736858964,0.3178204609181701,0.12371499999999999,0.1403322,0.01708984375
text,64,6,0.1,0.5,10,60,11,0.18333333333333332,0.1055768903713613,0.29919993226466285,0.1217615,0.12830135,0.01708984375
text,64,6,0.1,1.0,10,60,12,0.2,0.11828389736858964,0.3178204609181701,0.1207445,0.1231134,0.01708984375
text,64,6,0.1,1.5,10,60,12,0.2,0.11828389736858964,0.3178204609181701,0.1205405,0.12348245000000001,0.01708984375
text,64,13,0.2,0.0,10,130,10,0.07692307692307693,0.04231697987575295,0.13581597729152536,0.12171399999999999,0.13567880000000002,0.018798828125
text,64,13,0.2,0.5,10,130,10,0.07692307692307693,0.04231697987575295,0.13581597729152536,0.119906,0.1227284,0.018798828125
text,64,13,0.2,1.0,10,130,10,0.07692307692307693,0.04231697987575295,0.13581597729152536,0.11989849999999999,0.12971945,0.018798828125
text,64,13,0.2,1.5,10,130,10,0.07692307692307693,0.04231697987575295,0.13581597729152536,0.1197955,0.1256507,0.018798828125
text,64,19,0.3,0.0,10,160,9,0.05625,0.029871962307707264,0.10343728271919676,0.12061849999999999,0.14255369999999998,0.020263671875
text,64,19,0.3,0.5,10,160,9,0.05625,0.029871962307707264,0.10343728271919676,0.11961150000000001,0.12594685,0.020263671875
text,64,19,0.3,1.0,10,160,9,0.05625,0.029871962307707264,0.10343728271919676,0.1192075,0.12155665,0.020263671875
text,64,19,0.3,1.5,10,160,9,0.05625,0.029871962307707264,0.10343728271919676,0.11949950000000001,0.12319485,0.020263671875
text,64,26,0.4,0.0,10,160,5,0.03125,0.013420318754525096,0.07106127810488057,0.1217145,0.13612609999999997,0.02197265625
text,64,26,0.4,0.5,10,160,5,0.03125,0.013420318754525096,0.07106127810488057,0.11981549999999999,0.12413224999999999,0.02197265625
text,64,26,0.4,1.0,10,160,5,0.03125,0.013420318754525096,0.07106127810488057,0.1196395,0.1273764,0.02197265625
text,64,26,0.4,1.5,10,160,5,0.03125,0.013420318754525096,0.07106127810488057,0.119329,0.12229295,0.02197265625
text,64,32,0.5,0.0,10,160,4,0.025,0.009763834597428894,0.06251085022010217,0.1212295,0.1378826,0.0234375
text,64,32,0.5,0.5,10,160,4,0.025,0.009763834597428894,0.06251085022010217,0.119784,0.12315469999999999,0.0234375
text,64,32,0.5,1.0,10,160,4,0.025,0.009763834597428894,0.06251085022010217,0.11948149999999999,0.12224864999999999,0.0234375
text,64,32,0.5,1.5,10,160,4,0.025,0.009763834597428894,0.06251085022010217,0.1191005,0.12118135,0.0234375
text,128,13,0.1,0.0,10,130,10,0.07692307692307693,0.04231697987575295,0.13581597729152536,0.13481749999999998,0.14904584999999998,0.06884765625
text,128,13,0.1,0.5,10,130,10,0.07692307692307693,0.04231697987575295,0.13581597729152536,0.13260349999999999,0.1392338,0.06884765625
text,128,13,0.1,1.0,10,130,10,0.07692307692307693,0.04231697987575295,0.13581597729152536,0.131983,0.13683245,0.06884765625
text,128,13,0.1,1.5,10,130,10,0.07692307692307693,0.04231697987575295,0.13581597729152536,0.13176749999999998,0.13693705,0.06884765625
text,128,26,0.2,0.0,10,160,6,0.0375,0.01729768727039704,0.0793908216308832,0.134386,0.1480267,0.0751953125
text,128,26,0.2,0.5,10,160,6,0.0375,0.01729768727039704,0.0793908216308832,0.132715,0.13780089999999998,0.0751953125
text,128,26,0.2,1.0,10,160,6,0.0375,0.01729768727039704,0.0793908216308832,0.13230999999999998,0.1348332,0.0751953125
text,128,26,0.2,1.5,10,160,6,0.0375,0.01729768727039704,0.0793908216308832,0.1321765,0.13660135,0.0751953125
text,128,38,0.3,0.0,10,160,6,0.0375,0.01729768727039704,0.0793908216308832,0.13640950000000002,0.15279990000000002,0.0810546875
text,128,38,0.3,0.5,10,160,6,0.0375,0.01729768727039704,0.0793908216308832,0.134637,0.1433967,0.0810546875
text,128,38,0.3,1.0,10,160,6,0.0375,0.01729768727039704,0.0793908216308832,0.1332665,0.14159655,0.0810546875
text,128,38,0.3,1.5,10,160,6,0.0375,0.01729768727039704,0.0793908216308832,0.1334165,0.14434415,0.0810546875
text,128,51,0.4,0.0,10,160,3,0.01875,0.00639673490167721,0.05367103787397927,0.133351,0.14953665,0.08740234375
text,128,51,0.4,0.5,10,160,3,0.01875,0.00639673490167721,0.05367103787397927,0.130904,0.13741305,0.08740234375
text,128,51,0.4,1.0,10,160,3,0.01875,0.00639673490167721,0.05367103787397927,0.13075900000000001,0.14479664999999997,0.08740234375
text,128,51,0.4,1.5,10,160,3,0.01875,0.00639673490167721,0.05367103787397927,0.131248,0.14163569999999998,0.08740234375
text,128,64,0.5,0.0,10,160,2,0.0125,0.0034345991561011736,0.04442626157768072,0.132505,0.14916115,0.09375
text,128,64,0.5,0.5,10,160,2,0.0125,0.0034345991561011736,0.04442626157768072,0.1310445,0.17867754999999944,0.09375
