pattern_source,retrieval_mode,dimension,capacity,load_ratio,noise,repeats,trials,correct,accuracy,accuracy_ci95_low,accuracy_ci95_high,latency_p50_ms,latency_p95_ms,storage_mib
text,modern,64,6,0.1,0.0,10,60,60,1.0,0.9398260695220669,0.9999999999999999,0.071112,0.116464,0.01708984375
text,modern,64,6,0.1,0.5,10,60,60,1.0,0.9398260695220669,0.9999999999999999,0.0649015,0.07286749999999999,0.01708984375
text,modern,64,6,0.1,1.0,10,60,59,0.9833333333333333,0.9114466177322051,0.9970519161391262,0.06368950000000001,0.0710933,0.01708984375
text,modern,64,6,0.1,1.5,10,60,52,0.8666666666666667,0.7583460540992789,0.9308597302169036,0.06325800000000001,0.06950524999999999,0.01708984375
text,modern,64,13,0.2,0.0,10,130,130,1.0,0.9712974142568529,1.0,0.0662215,0.09326795,0.018798828125
text,modern,64,13,0.2,0.5,10,130,130,1.0,0.9712974142568529,1.0,0.063305,0.06655595,0.018798828125
text,modern,64,13,0.2,1.0,10,130,127,0.9769230769230769,0.9343469804875119,0.9921213223421016,0.0627375,0.06595275,0.018798828125
text,modern,64,13,0.2,1.5,10,130,106,0.8153846153846154,0.7399800318075412,0.8726844910313968,0.0628485,0.0654541,0.018798828125
text,modern,64,19,0.3,0.0,10,160,160,1.0,0.9765529633499672,1.0,0.0681995,0.0957782,0.020263671875
text,modern,64,19,0.3,0.5,10,160,160,1.0,0.9765529633499672,1.0,0.065607,0.0677362,0.020263671875
text,modern,64,19,0.3,1.0,10,160,154,0.9625,0.9206091783691167,0.982702312729603,0.06502250000000001,0.06751555000000001,0.020263671875
text,modern,64,19,0.3,1.5,10,160,131,0.81875,0.7518173600355944,0.8707351541000097,0.0649305,0.06739245,0.020263671875
text,modern,64,26,0.4,0.0,10,160,160,1.0,0.9765529633499672,1.0,0.0696065,0.09839894999999999,0.02197265625
text,modern,64,26,0.4,0.5,10,160,160,1.0,0.9765529633499672,1.0,0.06689300000000001,0.06941720000000001,0.02197265625
text,modern,64,26,0.4,1.0,10,160,153,0.95625,0.9124559185916465,0.9786486604651987,0.066536,0.06953535,0.02197265625
text,modern,64,26,0.4,1.5,10,160,131,0.81875,0.7518173600355944,0.8707351541000097,0.0663725,0.07018319999999999,0.02197265625
text,modern,64,32,0.5,0.0,10,160,160,1.0,0.9765529633499672,1.0,0.0704505,0.10159799999999998,0.0234375
text,modern,64,32,0.5,0.5,10,160,160,1.0,0.9765529633499672,1.0,0.0684645,0.071615,0.0234375
text,modern,64,32,0.5,1.0,10,160,150,0.9375,0.8887831386074578,0.9657007043237635,0.06764700000000001,0.0703892,0.0234375
text,modern,64,32,0.5,1.5,10,160,120,0.75,0.6775748906186185,0.8107015910563651,0.0674045,0.070534,0.0234375
text,modern,128,13,0.1,0.0,10,130,130,1.0,0.9712974142568529,1.0,0.067046,0.09700059999999999,0.06884765625
text,modern,128,13,0.1,0.5,10,130,130,1.0,0.9712974142568529,1.0,0.06398000000000001,0.069129,0.06884765625
text,modern,128,13,0.1,1.0,10,130,130,1.0,0.9712974142568529,1.0,0.06357499999999999,0.06752655,0.06884765625
text,modern,128,13,0.1,1.5,10,130,128,0.9846153846153847,0.9456404572030683,0.9957708827689584,0.06342,0.0650421,0.06884765625
text,modern,128,26,0.2,0.0,10,160,160,1.0,0.9765529633499672,1.0,0.0699595,0.09935395,0.0751953125
